FromElement,From,from.state,ToElement,To,to.state,Direction,Label,Type,Tags,Description,file.name
well-organised civil society,soc.context,P,affects equitable governance of intervention,equitable.governance,P,directed,,,,"Civil society and economic stakeholder groups are well organised  and include the Nature Protection Trust, Birdlife Seychelles and the  Green Island Foundation. The Marine Conservation Society has  strengthened support for marine conservation, including through public  education and through restoration initiatives. Seychellois fshers are  also mobilised, and grouped under several fshers’ associations, organised by fshery and geography. There is also the Fishing Boat-Owners  Association (FBOA), formed to advocate for better working conditions  for fshers and to promote the sustainable management of marine resources. In addition, the SFA has experience of empowering resource  users as co-managers through established eco-labelling initiatives",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
changing fishing practices,resource.use,,moderates intervention impacts,moderates.impacts,N,directed,,,,"fshing practices, the need to re-pay government loans for new gear and  boats forces fshermen to increase their fshing efforts to meet their loan  repayments. To add to these pressures, hotel development along the  inshore waters was perceived as having negatively impacted upon local  fshing grounds, necessitating the need to exploit offshore regions: ............ Although fshers’ knowledge may offer insights for adaptation or  conservation, changing practices, often forced upon fshers as a result of  government funded fsheries expansion and development schemes, may  have unintended negative consequences for biodiversity, as evidenced  here",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
dependence on fisheries,resource.use,,moderates intervention impacts,moderates.impacts,N,directed,,,,"in 2008  the country was forced to default on its debt payments and requested  International Monetary Fund (IMF) assistance for debt restructuring.  The loan conditionality tied to the IMF structural adjustment programme brings strict curbs on public expenditure and liberalisation of  trade [52]. The currency was also devalued, increasingly the price of  imports, which put further pressure on artisanal fshers to address family  food needs through inshore fshing. I",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
fisheries & biodiversity decline,env.context,,moderates intervention impacts,moderates.impacts,N,directed,,,,"Severe reductions in fsheries  catch have been noted for recent years, especially in the Mah!e Plateau,  but fsheries catch in inshore areas have also declined [68]. This is  having knock-on impacts on biodiversity, including phase shifts on reefs  from coral to algal communities, ari",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
management capacity,int.attr,N,moderates intervention impacts,moderates.impacts,,directed,,,,"Other causal factors linked to overfshing were associated with a lack  of enforcement capacity, including fnancial resources, by public offcials charged with ensuring compliance with fshing regulations, especially within the Seychelles vast marine protected areas:  And they [government] don’t have money to ensure that they have  suffcient staff and so you might have one or two rangers who are  responsible for a whole marine park and so they can’t go beyond the  limits of operation because they’re understaffed and also they might  not be effectively using their abilities because of the limits (Conservation actor participant in Stakeholder Workshop) While the approach is favoured in international efforts to protect marine  biodiversity, in the case of the Seychelles where state enforcement capacity is weak introducing more regulations on artisanal fshermen was  seen to risk an increase in illegal fshing activities:",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
NGO lobbying,gov.context,N,Affects equitable governance of intervention,equitable.governance,N,directed,,,,"The new zoning process began in June 2014 under the GSL’s new regulatory framework. It was led by the GNPS with the support of public and private, local and international, conservation organizations. It initially included some participatory processes open to stakeholders from within the GMR; however, these were interrupted due to instability of leading institutions and the involvement of representatives from an international NGO who lobbied at the highest government level for the establishment of a marine sanctuary2. As a result, the re-zoning plan was officially approved by Presidential Decree [968], and local consultation was terminated. The new plan included a large",kumu-rachelturner-burbano-meredith-2020-final-revised.xlsx
Institutional instability,gov.context,N,Affects equitable governance of intervention,equitable.governance,N,directed,,,,"It initially included some participatory processes open to stakeholders from within the GMR; however, these were interrupted due to instability of leading institutions and the involvement of representatives from an international NGO who lobbied at the highest government level for the establishment of a marine sanctuary2. As a result, the re-zoning plan was officially approved by Presidential Decree [968], and local consultation was terminated.",kumu-rachelturner-burbano-meredith-2020-final-revised.xlsx
Legislative changes affect participation,gov.context,P,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"two multiple-use zoning schemes have been officially approved. The first, in 2000, focused only on the marine area and excluded industrial fishing activities within the reserve’s boundaries; it also coordinated activities of approved users through such tools as an Annual Fishing Calendar that outlined agreements on target fish species, allowable gear, quotas, and seasons (Castrejon 2011). This zoning plan1 was carried out under a participatory management regime, where both design and implementation were determined through consensus with the reserve’s stakeholders (Zapata 2005). The second zoning plan, approved in 2016, marked a dramatic change. It was designed to manage both land and sea territories, ensure the protection of key habitats for the provision of ecosystem services, and expand marine conservation areas from 10% to 33% (Galapagos National Park Service 2014). This zoning was carried out under a regulatory framework that emerged as a result of the new constitution of Ecuador adopted in 2008, and which permitted the establishment of new interventions in territorial organization and management. This led to changes to the 1998 Galapagos Special Law (GSL), which had determined the governance of the GMR and had ensured public participation in conservation planning and management (Llerena, Quisingo, and Maldonado 2015). The new GSL, approved in 2015, allows for public consultation, but final decisions are made exclusively by the national and local government.",kumu-rachelturner-burbano-meredith-2020-final-revised.xlsx
Past conflict between fishers and managers,relationships,N,Affects equitable governance of intervention,equitable.governance,N,directed,,,,"In the 1990s the rapid expansion of the very lucrative sea cucumber fishery (Isostichopus fuscus) led to the imposition of regulations that triggered conflicts between the fisheries sector and managers of the marine reserve, thereby increasing the complexity of the GMR governance (Jones 2013). T",kumu-rachelturner-burbano-meredith-2020-final-revised.xlsx
New market opportunities,econ.context,P,Affects intervention impacts,moderates.impacts,P,directed,,,,"All are fishing boats from Manta [a fishing port in the coast of Ecuador]. They are the ones that take [shark fins]” (F18, SL). Fishers also noted that improved markets for spiny lobster and yellow fin tuna, especially for fishers in Santa Cruz, have contributed to better incomes from legal fisheries: “I did shark fishing a long time ago, when we did not have good opportunities, but now, I prefer to catch tuna or to catch other type of fish to sell to tourism. This gives me more money in fewer days of fishing” (F116, SZ).",kumu-rachelturner-burbano-meredith-2020-final-revised.xlsx
Limited enforcement capacity,int.attr,N,Affects intervention impacts,moderates.impacts,N,directed,,,,"The GNPS has explained that an Automatic Identification System (AIS) assists the control and surveillance of the marine reserve by identifying any vessel that gets inside the protected area (I14, GNPS). However, fishers contend that there are ways to deactivate AIS devises. Two individuals explained: “Now that they [industrial fishing] have the satellite control device, they stay outside the reserve close to the border while sending small fishing boats of 7 to 8 meters to fish inside” (F50, SL); “The patrol boat from the park takes two days and half to get to Darwin and Wolf Islands; thus, when they get there, illegal fishing boats are already out” (F42, SZ). An ex- fisher from Isabela also added: “even cruise ships have found illegal fishing boats over there, but they cannot intervene as it is dangerous. Some have tried to cut their lines and push them away, but there is nothing else they can do” (F147, IS).",kumu-rachelturner-burbano-meredith-2020-final-revised.xlsx
Presence of industrial fishing vessels,econ.context,N,Affects intervention impacts,moderates.impacts,N,directed,,,,The reserve is constantly under pressure due to industrial fishing vessels concentrated along its border threatening to trespass; this threatens the interests of both fishers and conservationists.,kumu-rachelturner-burbano-meredith-2020-final-revised.xlsx
facilitator,int.attr,P,affects equitable governance of intervention,equitable.governance,P,directed,,,,"Interviewees all felt that involving a facilitator or chair in forum processes is worth the investment, but one interviewee emphasised that the facilitator needed to remain neutral and another felt that facilitators should encourage participants to have difficult conversations as part of the process. One interviewee indicated that the MPA planning process would not have been possible without the help of the facilitator [neutrality]",kumu-rachelturner-davies-et-al-2008-rt.xlsx
greater inclusion (including IPs),int.attr,P,mediates intervention impacts,moderates.impacts,P,directed,,,,"[from Discussion]  data from this study supports claims that the inclusion of tangata whenua and a range of sector representatives in MPA planning produces less contentious proposals, as evidenced by fewer oppositional submissions when forum-style and MPPF processes are utilised",kumu-rachelturner-davies-et-al-2008-rt.xlsx
facilitator,int.attr,P,mediates intervention impacts,moderates.impacts,P,directed,,,,All of the forum-style and MPPF processes surveyed for Phase Two of this study relied on a facilitator or independent chairperson to assist with the smooth facilitation of MPA planning proceedings. This role was not formally designated for any non-forum processes.,kumu-rachelturner-davies-et-al-2008-rt.xlsx
efforts to engage social groups and build trust,int.attr,P,mediates intervention impacts,moderates.impacts,P,directed,,,,"MPA-related proceedings benefit from efforts conducted in advance of formal proposal development processes undertaken by tangata whenua, an agency, or another group, stating that this work helped to socialise the idea of an MPA in the region and began to develop trust among groups. Interviewees all felt that a time investment of up to two years and sometimes more may be required to get participants involved in MPPFs, establish a shared understanding of problems, and co-develop a vision and objectives for the MPA or network. Some interviewees suggested that discussions about rules and areas that might be protected are better left until later in the process so that participants can first gather information and develop trust within the group",kumu-rachelturner-davies-et-al-2008-rt.xlsx
Aarhus convention and its implementation in UK,gov.context,N,affected equitable governance of the intervention,equitable.governance,N,directed,,,,"The Aarhus Convention on Access to Information, Public Participation in Decision-making and Access to Justice in Environmental Matters (hereinafter Aarhus Convention) was adopted in 1998 under the auspices of the UN Economic Commission for Europe (UNECE), and entered into force in 2001. The Convention establishes rights for the public under the three pillars listed within its title, linking environmental rights and human rights. The EU has been a Party to the Convention since 2005 and has implemented two of its three pillars through Directives, which Member States are required to implement via national legislation: Directive 2003/4/EC addressing public access to environmental information [21], and Directive 2003/35/EC providing for public participation in respect of the drawing up of certain plans and programs relating to the environment. The UK has implemented the first Directive, on access to information, via the 2004 Environmental Information Regulations (SI 2004/3391 [26]) for England, Wales and Northern Ireland (and separate Regulations for Scotland [27]), but it has not implemented the second Directive through a single instrument. Rather, as detailed in the latest (2014) report on the UK’s national implementation of the Convention [28], there are several policies and instruments that include public consultation.",kumu-rachelturner-de-santo-2016-final.xlsx
change in government affected communication,gov.context,N,affected equitable governance of the intervention,equitable.governance,N,directed,,,,"Whether and how these “rules” were communicated adequately is worth considering, given the negative outcome from the perspective of many involved in the process. Given the MCZ project was initiated under one administration (Labour) and the implementation of the project under another (first Coalition, now Conservative), it is not surprising that the shift in Government has impacted the project's outcomes. The change in government led to the process feeling “disenfranchised”.",kumu-rachelturner-de-santo-2016-final.xlsx
time constraints,int.attr,N,affected equitable governance of the intervention,equitable.governance,N,directed,,,,"The evidence session held in Falmouth “confirmed that there were people who felt excluded from the consultation process” […] and stakeholders present told the Committee that “it could be difficult to keep up to date with the process, particularly given the number of lengthy reports and consultation documents being published” [38]. In their written evidence submitted to the inquiry, Defra acknowledged that despite their efforts to engage representatives from all stakeholder groups in the process, due to time constraints “this was not exhaustive and we are aware that some local stakeholders feel they did not have the opportunity to engage as much as they would have liked” [38].",kumu-rachelturner-de-santo-2016-final.xlsx
decisions influenced by political factors,gov.context,N,mediated impacts of intervention,moderates.impacts,proc.dec.ctrl,directed,,,,"Delay in progress with MCZ designation appeared to be due to a fear of judicial review from the fishing industry, a possibility for which the Committee chided the Defra Minister for allowing to affect his priorities.",kumu-rachelturner-de-santo-2016-final.xlsx
no social scientists on advisory panel,int.attr,N,mediated impacts of intervention,moderates.impacts,N,directed,,,,"Several interviewees commented on the lack of social scientists on the SAP, which was comprised entirely of natural scientists and fisheries experts, a “conscious decision by Defra” (RC), yet the fishing community was seen as questioning the evidence base throughout the process (AC).",kumu-rachelturner-de-santo-2016-final.xlsx
poor communication btwn regional projects & sci adv panel,int.attr,N,mediated impacts of intervention,moderates.impacts,N,directed,,,,"Some cited communication problems between project managers and the SAP, due to unrealistic expectations, i.e. the SAP expected extensive work that the regional projects could not do (RC). Also, given the SAP was paid to work for a limited amount of time (approximately 30 days) throughout the process, it was difficult for them to understand what was going on within the regional projects; not having access to all of the data used, the SAP's response was that the data were insufficient (RC).",kumu-rachelturner-de-santo-2016-final.xlsx
poor expectation management,int.attr,N,mediated impacts of intervention,moderates.impacts,N,directed,,,,"A member of the regulatory community commented that the SNCBs “could have managed expectations better”, particularly as they were the frontline communicating with the public. They also “could have understood the socioeconomics better, it would have made the process more robust” (RC). The role of socioeconomic criteria and its importance during the site selection process was not as clear as it might have been, and Defra's perspective on this aspect and policy regarding it changed during the process (RC).",kumu-rachelturner-de-santo-2016-final.xlsx
unclear requirements for evidence,int.attr,N,mediated impacts of intervention,moderates.impacts,N,directed,,,,"Regulatory community commented that the SAP could have been more involved in the process, and was perceived as not providing the kind of guidance that was needed, whilst the regional projects were unable to provide them with the kind of information they needed to make decisions. One regulator commented that they thought the SAP “would look at all of the recommendations across the country and come out with a view of whether we'd overshot the mark” – the outcome was very different. The frustration at and resignation toward how the process unfolded, and how the evidence provided by regional projects was deemed unacceptable, was palpable during many interviews.",kumu-rachelturner-de-santo-2016-final.xlsx
change in government affected communication,gov.context,N,mediated impacts of intervention,moderates.impacts,N,directed,,,,"Whether and how these “rules” were communicated adequately is worth considering, given the negative outcome from the perspective of many involved in the process. Given the MCZ project was initiated under one administration (Labour) and the implementation of the project under another (first Coalition, now Conservative), it is not surprising that the shift in Government has impacted the project's outcomes. The change in government led to the process feeling “disenfranchised”.",kumu-rachelturner-de-santo-2016-final.xlsx
Expectations about marine park review not met,int.attr,N,Equitable governance of intervention,equitable.governance,N,directed,,,,"The government committed to a statutory review for the zoning plan for CBMP and PSGLMP for 2011 and 2012 consecutively to allow stakeholders and community to review the zoning plan after five years [68, 69]. It has now been well over a decade, and both parks are still yet to undergo a statutory review. From the government per- spective, there is a reason for not having undertaken the promised reviews. A ‘new approach’ announced by the government in 2013, included the development of marine park manage- ment reforms involving changes to governance that replaced the existing NSW Marine Parks Act 1997 with the Marine Estate Management Act 2014 [70].  As a consequence of the new Act, the requirement of a statutory review of management rules for MPAs is now ten years since the enactment of that Act (i.e. 2024 for all NSW marine parks, not 2011 for CBMP and 2012 for PSGLMP as previously promised). Despite the government reforms, there is still an expec- tation in the community that the reviews pledged for 2011 and 2012 should have happened, which has led to social acceptability issues across different interests/user groups, as one inter- viewee commented: Well the saddest thing about the marine park, well there’s lots of sad things, but the saddest thing is that we were promised a review after five years and no review. And it’s a long way from being perfect, a long way. (PSGLMP_3)",kumu-rachelturner-gollan-barclay-2020-final.xlsx
Creation of Marine Parks Association,gov.context,P,Equitable governance of intervention,equitable.governance,P,directed,,,,"The management of MPAs can enhance the collaboration and active involvement of people in measures to work together to protect the marine environment. Environmental stewardship is about individuals and communities getting involved to promote sustainability and is evident in both parks, such as creating a Marine Parks Association that is specifically engaged to sup- port marine parks.",kumu-rachelturner-gollan-barclay-2020-final.xlsx
colonialism & apartheid,hist.context,N,Affects the equitable governance of the MPA,equitable.governance,N,directed,,(-),,"In four of the MPAs (Hluleka, Dwesa-Cwebe, Tsitsikamma and Langebaan Lagoon), the declaration of the marine reserve or MPA was accompanied by forced relocations or racially based spatial planning regulations. Consequently, the legitimacy of the boundaries of the MPA and the authority of the state in these areas are questioned. The social impacts associated with the declaration and ongoing management of these MPAs need to be understood in relation to the political economy of the country and, in particular, the historical marginalisation of these communities under both colonialism and apartheid.",kumu-rachelturner-sowman-sundee-2018-final-revised - coding (dg-comments) + RT.xlsx
Historical context - pre-existing marginalisation,hist.context,N,Affects the equitable governance of the MPA,equitable.governance,N,directed,,(-),,"The social impacts associated with the declaration and ongoing management of these MPAs need to be understood in relation to the political economy of the country and, in particular, the historical marginalisation of these communities under both colonialism and apartheid. In all five instances, those affected were predominantly black communities impacted by racially based spatial planning. In the South African context it is di#cult to disaggregate the impacts of a century of racialised marginalisation from impacts directly linked to the declaration of the MPAs. Like protected areas elsewhere, the establishment of these parks is closely tied to their role as “instruments of natural resources control“ (Wilshusen et al., 2003: 5) under colonial and authoritarian rule, accounting for the resistance and skepticism expressed towards these areas by many local communities. The imposition of a statutory system of governance through the declaration of an MPA has in several instances led to a situation of legal pluralism. While this shift has happened in many countries over the past century due to the development of modern systems of !sheries governance and management, what distinguishes South Africa in this regard is that because the new system was imposed by the apartheid regime, and was accompanied by discriminatory legislation that favoured white citizens, black !shing communities questioned the legitimacy of the new system and, in many instances, continued to live according to their own local rules.",kumu-rachelturner-sowman-sundee-2018-final-revised - coding (dg-comments) + RT.xlsx
Lack of effective inclusion mechanisms,int.attr,N,Affects the equitable governance of the MPA,equitable.governance,,directed,,(-),,"The conservation authorities pay lip service to involving the resource users in co-management, but there are no mechanisms for effective co-management in any of the !ve MPAs studied. Where there are park advisory forums (Langebaan MPA and Tsitsikamma MPA), the users' and stakeholders' decision-making power is severely constrained by the fact that these are only advisory bodies. The absence of an appropriate structure to facilitate users' involvement in decision-making and management impacts the communities' contribution to conservation and the inclusion and respect for their TEK.",kumu-rachelturner-sowman-sundee-2018-final-revised - coding (dg-comments) + RT.xlsx
capacity enhancement and education,soc.context,P,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"The Malalison islanders had no tradition of collective action and the formation of FAMI was a first step towards institutionalization of meaningful changes. Building on the islanders’ ability to organize and work together relative to their resource base, empowering them through environmental education and training on paralegal knowledge, among others, could lead to effective management of fishery resources. RT: I think I'd maybe call this capacity enhancement rather than outreach",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
Constrained attendance assemblies,wider.partic,N,Affects equitable governance of intervention,equitable.governance,N,directed,,,,"The influence and material gain component (Component2)is positively correlated with length of education, number of household members who attended meetings, access to credit, and influence in project planning (Table 2).In contrast, those households with more members attending training and affiliation with other organizations, and those receiving more outside remittances perceived lesser changes in this component. These inverse correlations indicate that community members’ influence in fisheries management was constrained by their absence in assemblies due to their involvement in other activities, and it also affected their income. The results suggest that those who attend training, especially when held outside the village, are unable to participate in assemblies where decisions are made, thereby affecting their perceptions on this component. Further, fishers’ complacent attitude toward rule breaking hampers collective action",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
creation of formal bodies for planning/policy/disputes,int.attr,P,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"The creation of formal bodies for planning, policy making, and arbitration of disputes allowed the fishers, to participate and express their sentiments on matters affecting them. Likewise, perceptions of rule compliance, information exchange, and overall fishery well- being were positive (Table 1);and these have favourable implications for sustainability. RT: I agree but I'd say this is something that affects the equity of the intervention i.e. it facilitates participation & voice.",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
enabling policy,gov.context,P,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"With the issuing of EO240, FAMI formed FARMC at the village and became members themselves. This hastened the formal deliberations on use rights and withdrawal rules by the Barangay (village) Council where fishery- related laws are determined, using the plan made by the group as basis for the Council’s discussion Moreover, issuing of EO 240in 1995 formalized the joint resource management efforts of government and the fishers. FARMC is a multisectoral group of fishers, people’s organizations (POS), non-government organizations (NGOs) and government agencies that regulates resource use in the name of all stakeholders. Fishery problems are initially presented, deliberated, and resolved at the FARMC. The local government and the fishers work closely through a series of general assemblies, discussions, and consensus building to arrive at solutions suitable to the community [from background section]: Enabling legislation, particularly the 1991 Local GovernmentCode (LGC)and the 1995Executive Order (EO) 240, creating a Fisheries and Aquatic Resources Management Council (FARMC) in every coastal barangay (village), municipality or city, has provided the institutional setting for the emergence and enhancement of fisheries co- management at the village level (Sunderlin and Gorospe, 1997).The FARMC has been mandated to be composed of 75% fishers. RT: agree",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
external agents catalysed co-management,gov.context,P,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"The launching of the CFRM project in 1991 changed the scenario of resource use in Malalison marine waters, with SEAFDEC AQD serving as a catalyst. Results of socioeconomic and biological studies, done in the project site, guided the project team during the implementation of development interventions. Moreover, SEAFDEC AQD tapped the Participatory Research Organization of Communities and Education Toward Struggle for Self-reliance (PROCESS) Foundation, a nongovernment organization, to handle community organizing and institution building.",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
formation of Fishers Association,soc.context,P,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"The Malalison islanders had no tradition of collective action and the formation of FAMI was a first step towards institutionalization of meaningful changes. Building on the islanders’ ability to organize and work together relative to their resource base, empowering them through environmental education and training on paralegal knowledge, among others, could lead to effective management of fishery resources.",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
homogenous community dependent on same resource,soc.context,,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"[discussion]  Co-management is relatively easy to forge in a community where the majority of its members are dependent on the same resource base and are homogeneous.Fishers will likely band together to address resource problems. This was earlier demonstrated by the fishers’ collective action to end the fishery concession and to form their own group to increase fish catch. A catalyst, however, was needed to redirect these efforts towards a more positive and sustainable use of fishery resources. RT:  could say this affects equity since it suggests it facilitates co-management?",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
national to local devolution,gov.context,P,Affects equitable governance of intervention,equitable.governance,P,directed,,,,"Decision making in the management of coastal resources at the village level gained a foothold with the devolution of administrative functions and rules from the national to the local govern- ment through the Local Government Code. The municipalitiesnow have the exclusiveright to grant fisheryprivilegestoorganizationsandcooperatives of marginal fishers, among others. For example, the municipal government’s grant of TURF of 1km2 area to FAMI for management in 1990, questioned initially by the provincial government as‘class’legislation,was finallyjustified.",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
raised and unmet expectations,int.attr,N,Affects equitable governance of intervention,equitable.governance,N,directed,,,,"The initial project strategy of emphasizing the short- and long-term socio- economic benefits, i.e. creation of more jobs, to ensure participation has been counter-productive (Agbayani and Siar, 1994).The lack of participation among cooperators as the project progressed became evident when these expectations were not met. The interdisciplinaryproject team encountered problems in the initial phase of project implementation (Agbayani and Siar, 1994). Village fishers expected immediate benefits. SEAFDEC AQDs research and community organizing activities were not attuned to each other. Most community members did not appreciate or understand research. There was no full-time project leader. Also, the Fishermen’s Association of Malalison Island (FAMI) had leadership problems. Total reliance on fishing for food and knowledge of project objectives, however, showed an inverse relationship with this component, indicating that those who relied solely on fishing and those who are more knowledgeable of project objectives expect too much too soon from the project.",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
complacency with rule breaking,soc.context,N,Mediates intervention impact,moderates.impacts,N,directed,,,,"Further, fishers’ complacent attitude toward rule- breaking hampers collective action.",kumu-tristanoleary-baticados-and-agbayani-2000-final.xlsx
